tool_name,suites,suite_instance_count,descriptions,public_parameter_variants,environment_dependency_variants,implementation_locations,suggested_capability_class,suggested_action_impact,review_priority,review_decision,capability_class,action_impact,review_note
get_contact_information_for_restaurants,"[""travel""]",1,"[""Get the contact information of the given restaurants. :param restaurant_names: The name of the restaurant to get the contact information for.""]","[[{""name"": ""restaurant_names"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""restaurants"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Restaurants, Depends('restaurants')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""restaurants""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 234}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_cuisine_type_for_restaurants,"[""travel""]",1,"[""Get the cuisine type of the given restaurants, could be: Italian, Chinese, Indian, Japanese. :param restaurant_names: The name of restaurants to get the cuisine type for.""]","[[{""name"": ""restaurant_names"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""restaurants"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Restaurants, Depends('restaurants')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""restaurants""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 205}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_current_day,"[""workspace""]",1,"[""Returns the current day in ISO format, e.g. '2022-01-01'. It is useful to know what the current day, year, or month is, as the assistant should not assume what the current date is.""]",[[]],"[[{""name"": ""calendar"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Calendar, Depends('calendar')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""calendar""}]]","[{""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/calendar_client.py"", ""source_line"": 191}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_day_calendar_events,"[""travel"", ""workspace""]",2,"[""Returns the appointments for the given `day`. Returns a list of dictionaries with informations about each meeting.""]","[[{""name"": ""day"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""calendar"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Calendar, Depends('calendar')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""calendar""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/calendar_client.py"", ""source_line"": 128}, {""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/calendar_client.py"", ""source_line"": 128}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,sensitive_data_read,medium,"Human review confirmed that this tool reads potentially private workspace, calendar, or cloud-document data without modifying state. May expose private schedules, meeting descriptions, locations, and participant information."
get_dietary_restrictions_for_all_restaurants,"[""travel""]",1,"[""Get the dietary restrictions of the given restaurants, could be: Vegetarian, Vegan, Gluten-free, Dairy-free. :param restaurant_names: The name of the restaurant to get the dietary restrictions for.""]","[[{""name"": ""restaurant_names"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""restaurants"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Restaurants, Depends('restaurants')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""restaurants""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 219}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_draft_emails,"[""workspace""]",1,"[""Returns all the draft emails in the inbox. Each email has a recipient, a subject, and a body.""]",[[]],"[[{""name"": ""inbox"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Inbox, Depends('inbox')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""inbox""}]]","[{""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/email_client.py"", ""source_line"": 233}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,private_communication_read,medium,Human review confirmed that this tool reads private unsent email communication without modifying state. Drafts may contain confidential content that has not yet been sent.
get_file_by_id,"[""workspace""]",1,"[""Get a file from a cloud drive by its ID.""]","[[{""name"": ""file_id"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""cloud_drive"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[CloudDrive, Depends('cloud_drive')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""cloud_drive""}]]","[{""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/cloud_drive_client.py"", ""source_line"": 102}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,sensitive_data_read,medium,"Human review confirmed that this tool reads potentially private workspace, calendar, or cloud-document data without modifying state. Can retrieve arbitrary cloud-document content based on file ID."
get_flight_information,"[""travel""]",1,"[""Get the flight information from the departure city to the arrival city. :param departure_city: The city to depart from. :param arrival_city: The city to arrive at.""]","[[{""name"": ""departure_city"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""arrival_city"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""flights"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Flights, Depends('flights')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""flights""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 403}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_hotels_address,"[""travel""]",1,"[""Get the address of the given hotel. :param hotel_name: The name of the hotel to get the address for.""]","[[{""name"": ""hotel_name"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""hotels"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Hotels, Depends('hotels')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""hotels""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 142}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_hotels_prices,"[""travel""]",1,"[""Get all hotels within the given budget, should be within the price range. :param hotel_names: The name of the hotel to get the price range for.""]","[[{""name"": ""hotel_names"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""hotels"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Hotels, Depends('hotels')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""hotels""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 131}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
get_iban,"[""banking""]",1,"[""Get the IBAN of the current bank account.""]",[[]],"[[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[BankAccount, Depends('bank_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""bank_account""}]]","[{""suite"": ""banking"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/banking_client.py"", ""source_line"": 50}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,financial_data_read,medium,Human review confirmed that this tool reads private financial account information without modifying state. Returns the user's bank-account identifier.
get_most_recent_transactions,"[""banking""]",1,"[""Get the list of the most recent transactions, e.g. to summarize the last n transactions.""]","[[{""name"": ""n"", ""kind"": ""positional_or_keyword"", ""annotation"": ""int"", ""default"": ""100"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[BankAccount, Depends('bank_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""bank_account""}]]","[{""suite"": ""banking"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/banking_client.py"", ""source_line"": 161}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,financial_data_read,medium,"Human review confirmed that this tool reads private financial account information without modifying state. May expose counterparties, amounts, subjects, and transaction history."
get_price_for_restaurants,"[""travel""]",1,"[""Get the price per person of the given restaurants. :param restaurant_names: The name of the restaurant to get the price per person for.""]","[[{""name"": ""restaurant_names"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""restaurants"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Restaurants, Depends('restaurants')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""restaurants""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 248}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed that this tool performs read-only retrieval of ordinary public, commercial, travel, or non-sensitive reference information."
