tool_name,suites,suite_instance_count,descriptions,public_parameter_variants,environment_dependency_variants,implementation_locations,suggested_capability_class,suggested_action_impact,review_priority,review_decision,capability_class,action_impact,review_note
delete_email,"[""workspace""]",1,"[""Deletes the email with the given `email_id` from the inbox.""]","[[{""name"": ""email_id"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""inbox"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Inbox, Depends('inbox')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""inbox""}]]","[{""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/email_client.py"", ""source_line"": 214}]",destructive_or_revocation_write,high,P1_write_or_side_effect,confirmed_capability_metadata,destructive_or_revocation_write,high,"Human review confirmed that this tool deletes, cancels, removes, or revokes existing state or access."
delete_file,"[""workspace""]",1,"[""Delete a file from the cloud drive by its filename. It returns the file that was deleted.""]","[[{""name"": ""file_id"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""cloud_drive"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[CloudDrive, Depends('cloud_drive')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""cloud_drive""}]]","[{""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/cloud_drive_client.py"", ""source_line"": 93}]",destructive_or_revocation_write,high,P1_write_or_side_effect,confirmed_capability_metadata,destructive_or_revocation_write,high,"Human review confirmed that this tool deletes, cancels, removes, or revokes existing state or access."
remove_user_from_slack,"[""slack""]",1,"[""Remove a user from the Slack workspace.""]","[[{""name"": ""user"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""slack"", ""kind"": ""positional_or_keyword"", ""annotation"": ""AnnotatedSlack"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""slack""}]]","[{""suite"": ""slack"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/slack.py"", ""source_line"": 106}]",destructive_or_revocation_write,high,P1_write_or_side_effect,confirmed_capability_metadata,destructive_or_revocation_write,high,"Human review confirmed that this tool deletes, cancels, removes, or revokes existing state or access."
post_webpage,"[""slack""]",1,"[""Posts a webpage at a given URL with the given content.""]","[[{""name"": ""url"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""content"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""web"", ""kind"": ""positional_or_keyword"", ""annotation"": ""AnnotatedWeb"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""web""}]]","[{""suite"": ""slack"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/web.py"", ""source_line"": 24}]",external_communication_write,medium,P1_write_or_side_effect,confirmed_capability_metadata,external_communication_write,medium,"Human review confirmed that this tool transmits or publishes content to another person, channel, or external destination."
send_channel_message,"[""slack""]",1,"[""Send a channel message from `author` to `channel` with the given `content`.""]","[[{""name"": ""channel"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""body"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""slack"", ""kind"": ""positional_or_keyword"", ""annotation"": ""AnnotatedSlack"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""slack""}]]","[{""suite"": ""slack"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/slack.py"", ""source_line"": 78}]",external_communication_write,medium,P1_write_or_side_effect,confirmed_capability_metadata,external_communication_write,medium,"Human review confirmed that this tool transmits or publishes content to another person, channel, or external destination."
send_direct_message,"[""slack""]",1,"[""Send a direct message from `author` to `recipient` with the given `content`.""]","[[{""name"": ""recipient"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""body"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""slack"", ""kind"": ""positional_or_keyword"", ""annotation"": ""AnnotatedSlack"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""slack""}]]","[{""suite"": ""slack"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/slack.py"", ""source_line"": 63}]",external_communication_write,medium,P1_write_or_side_effect,confirmed_capability_metadata,external_communication_write,medium,"Human review confirmed that this tool transmits or publishes content to another person, channel, or external destination."
send_email,"[""travel"", ""workspace""]",2,"[""Sends an email with the given `body` to the given `address`. Returns a dictionary with the email details.""]","[[{""name"": ""recipients"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""subject"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""body"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""attachments"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[dict] | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""cc"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str] | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""bcc"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str] | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""inbox"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Inbox, Depends('inbox')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""inbox""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/email_client.py"", ""source_line"": 154}, {""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/email_client.py"", ""source_line"": 154}]",external_communication_write,medium,P1_write_or_side_effect,confirmed_capability_metadata,external_communication_write,medium,"Human review confirmed that this tool transmits or publishes content to another person, channel, or external destination."
schedule_transaction,"[""banking""]",1,"[""Schedule a transaction.""]","[[{""name"": ""recipient"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""amount"", ""kind"": ""positional_or_keyword"", ""annotation"": ""float"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""subject"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""date"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""recurring"", ""kind"": ""positional_or_keyword"", ""annotation"": ""bool"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[BankAccount, Depends('bank_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""bank_account""}]]","[{""suite"": ""banking"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/banking_client.py"", ""source_line"": 82}]",financial_write,high,P1_write_or_side_effect,confirmed_capability_metadata,financial_write,high,"Human review confirmed that this tool creates, executes, or modifies financial transaction state."
send_money,"[""banking""]",1,"[""Sends a transaction to the recipient.""]","[[{""name"": ""recipient"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""amount"", ""kind"": ""positional_or_keyword"", ""annotation"": ""float"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""subject"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""date"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[BankAccount, Depends('bank_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""bank_account""}]]","[{""suite"": ""banking"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/banking_client.py"", ""source_line"": 55}]",financial_write,high,P1_write_or_side_effect,confirmed_capability_metadata,financial_write,high,"Human review confirmed that this tool creates, executes, or modifies financial transaction state."
update_scheduled_transaction,"[""banking""]",1,"[""Update a scheduled transaction.""]","[[{""name"": ""id"", ""kind"": ""positional_or_keyword"", ""annotation"": ""int"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""recipient"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""amount"", ""kind"": ""positional_or_keyword"", ""annotation"": ""float | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""subject"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""date"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""recurring"", ""kind"": ""positional_or_keyword"", ""annotation"": ""bool | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[BankAccount, Depends('bank_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""bank_account""}]]","[{""suite"": ""banking"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/banking_client.py"", ""source_line"": 115}]",financial_write,high,P1_write_or_side_effect,confirmed_capability_metadata,financial_write,high,"Human review confirmed that this tool creates, executes, or modifies financial transaction state."
append_to_file,"[""workspace""]",1,"[""Append content to a file in the cloud drive.""]","[[{""name"": ""file_id"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""content"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""cloud_drive"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[CloudDrive, Depends('cloud_drive')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""cloud_drive""}]]","[{""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/cloud_drive_client.py"", ""source_line"": 134}]",state_changing_write,medium,P1_write_or_side_effect,confirmed_capability_metadata,state_changing_write,medium,Human review confirmed that this tool creates or modifies persistent application state.
create_calendar_event,"[""travel"", ""workspace""]",2,"[""Creates a new calendar event with the given details and adds it to the calendar. It also sends an email to the participants with the event details.""]","[[{""name"": ""title"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""start_time"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""end_time"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""description"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": ""''"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""participants"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str] | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""location"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""calendar"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Calendar, Depends('calendar')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""calendar""}, {""name"": ""inbox"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Inbox, Depends('inbox')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""inbox""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/calendar_client.py"", ""source_line"": 137}, {""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/calendar_client.py"", ""source_line"": 137}]",state_changing_write,medium,P1_write_or_side_effect,confirmed_capability_metadata,state_changing_write,medium,Human review confirmed that this tool creates or modifies persistent application state.
create_file,"[""workspace""]",1,"[""Create a new file in the cloud drive.""]","[[{""name"": ""filename"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""content"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""cloud_drive"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[CloudDrive, Depends('cloud_drive')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""cloud_drive""}]]","[{""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/cloud_drive_client.py"", ""source_line"": 80}]",state_changing_write,medium,P1_write_or_side_effect,confirmed_capability_metadata,state_changing_write,medium,Human review confirmed that this tool creates or modifies persistent application state.
reschedule_calendar_event,"[""workspace""]",1,"[""Reschedules the event with the given `event_id` to the new start and end times. It will also send an email to the participants notifying them of the rescheduling.""]","[[{""name"": ""event_id"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""new_start_time"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""new_end_time"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""calendar"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Calendar, Depends('calendar')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""calendar""}, {""name"": ""inbox"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Inbox, Depends('inbox')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""inbox""}]]","[{""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/calendar_client.py"", ""source_line"": 214}]",state_changing_write,medium,P1_write_or_side_effect,confirmed_capability_metadata,state_changing_write,medium,Human review confirmed that this tool creates or modifies persistent application state.
