function_name,suggested_action_class,total_call_references,user_task_references,injection_task_references,unique_structure_count,suites,example_structure_ids,manual_review_status,manual_capability_class,review_note
get_all_restaurants_in_city,read_only_candidate,11,11,0,10,"[""travel""]","[""agentdojo_travel_user_task_002"", ""agentdojo_travel_user_task_007"", ""agentdojo_travel_user_task_008"", ""agentdojo_travel_user_task_009"", ""agentdojo_travel_user_task_010""]",unreviewed,,
get_car_fuel_options,read_only_candidate,2,2,0,2,"[""travel""]","[""agentdojo_travel_user_task_014"", ""agentdojo_travel_user_task_015""]",unreviewed,,
get_car_price_per_day,read_only_candidate,8,8,0,6,"[""travel""]","[""agentdojo_travel_user_task_014"", ""agentdojo_travel_user_task_015"", ""agentdojo_travel_user_task_016"", ""agentdojo_travel_user_task_017"", ""agentdojo_travel_user_task_018""]",unreviewed,,
get_car_types_available,read_only_candidate,2,2,0,2,"[""travel""]","[""agentdojo_travel_user_task_013"", ""agentdojo_travel_user_task_015""]",unreviewed,,
get_channels,read_only_candidate,9,8,1,9,"[""slack""]","[""agentdojo_slack_injection_task_002"", ""agentdojo_slack_user_task_005"", ""agentdojo_slack_user_task_007"", ""agentdojo_slack_user_task_008"", ""agentdojo_slack_user_task_009""]",unreviewed,,
get_cuisine_type_for_restaurants,read_only_candidate,7,7,0,7,"[""travel""]","[""agentdojo_travel_user_task_002"", ""agentdojo_travel_user_task_007"", ""agentdojo_travel_user_task_009"", ""agentdojo_travel_user_task_010"", ""agentdojo_travel_user_task_011""]",unreviewed,,
get_current_day,read_only_candidate,2,2,0,2,"[""workspace""]","[""agentdojo_workspace_user_task_002"", ""agentdojo_workspace_user_task_010""]",unreviewed,,
get_day_calendar_events,read_only_candidate,8,8,0,8,"[""workspace""]","[""agentdojo_workspace_user_task_001"", ""agentdojo_workspace_user_task_005"", ""agentdojo_workspace_user_task_006"", ""agentdojo_workspace_user_task_010"", ""agentdojo_workspace_user_task_011""]",unreviewed,,
get_dietary_restrictions_for_all_restaurants,read_only_candidate,1,1,0,1,"[""travel""]","[""agentdojo_travel_user_task_008""]",unreviewed,,
get_flight_information,read_only_candidate,1,1,0,1,"[""travel""]","[""agentdojo_travel_user_task_016""]",unreviewed,,
get_hotels_address,read_only_candidate,5,5,0,5,"[""travel""]","[""agentdojo_travel_user_task_001"", ""agentdojo_travel_user_task_003"", ""agentdojo_travel_user_task_004"", ""agentdojo_travel_user_task_005"", ""agentdojo_travel_user_task_012""]",unreviewed,,
get_hotels_prices,read_only_candidate,13,11,2,11,"[""travel""]","[""agentdojo_travel_injection_task_004"", ""agentdojo_travel_injection_task_005"", ""agentdojo_travel_user_task_001"", ""agentdojo_travel_user_task_003"", ""agentdojo_travel_user_task_004""]",unreviewed,,
get_most_recent_transactions,read_only_candidate,12,12,0,12,"[""banking""]","[""agentdojo_banking_user_task_001"", ""agentdojo_banking_user_task_003"", ""agentdojo_banking_user_task_004"", ""agentdojo_banking_user_task_005"", ""agentdojo_banking_user_task_006""]",unreviewed,,
get_price_for_restaurants,read_only_candidate,9,9,0,7,"[""travel""]","[""agentdojo_travel_user_task_002"", ""agentdojo_travel_user_task_008"", ""agentdojo_travel_user_task_010"", ""agentdojo_travel_user_task_011"", ""agentdojo_travel_user_task_017""]",unreviewed,,
get_rating_reviews_for_car_rental,read_only_candidate,9,9,0,7,"[""travel""]","[""agentdojo_travel_user_task_013"", ""agentdojo_travel_user_task_014"", ""agentdojo_travel_user_task_015"", ""agentdojo_travel_user_task_016"", ""agentdojo_travel_user_task_017""]",unreviewed,,
get_rating_reviews_for_hotels,read_only_candidate,12,12,0,10,"[""travel""]","[""agentdojo_travel_user_task_000"", ""agentdojo_travel_user_task_001"", ""agentdojo_travel_user_task_003"", ""agentdojo_travel_user_task_004"", ""agentdojo_travel_user_task_005""]",unreviewed,,
get_rating_reviews_for_restaurants,read_only_candidate,12,12,0,10,"[""travel""]","[""agentdojo_travel_user_task_002"", ""agentdojo_travel_user_task_007"", ""agentdojo_travel_user_task_008"", ""agentdojo_travel_user_task_009"", ""agentdojo_travel_user_task_010""]",unreviewed,,
get_restaurants_address,read_only_candidate,6,6,0,6,"[""travel""]","[""agentdojo_travel_user_task_007"", ""agentdojo_travel_user_task_008"", ""agentdojo_travel_user_task_009"", ""agentdojo_travel_user_task_010"", ""agentdojo_travel_user_task_011""]",unreviewed,,
get_scheduled_transactions,read_only_candidate,4,3,1,4,"[""banking""]","[""agentdojo_banking_injection_task_008"", ""agentdojo_banking_user_task_002"", ""agentdojo_banking_user_task_012"", ""agentdojo_banking_user_task_015""]",unreviewed,,
get_unread_emails,read_only_candidate,1,1,0,1,"[""workspace""]","[""agentdojo_workspace_user_task_024""]",unreviewed,,
get_user_information,read_only_candidate,2,0,2,2,"[""travel""]","[""agentdojo_travel_injection_task_003"", ""agentdojo_travel_injection_task_005""]",unreviewed,,
get_users_in_channel,read_only_candidate,11,11,0,3,"[""slack""]","[""agentdojo_slack_user_task_005"", ""agentdojo_slack_user_task_009"", ""agentdojo_slack_user_task_010""]",unreviewed,,
get_webpage,read_only_candidate,12,11,1,10,"[""slack""]","[""agentdojo_slack_injection_task_003"", ""agentdojo_slack_user_task_000"", ""agentdojo_slack_user_task_001"", ""agentdojo_slack_user_task_002"", ""agentdojo_slack_user_task_003""]",unreviewed,,
invite_user_to_slack,access_control_write_candidate,4,3,1,4,"[""slack""]","[""agentdojo_slack_injection_task_005"", ""agentdojo_slack_user_task_002"", ""agentdojo_slack_user_task_011"", ""agentdojo_slack_user_task_016""]",unreviewed,,
list_files,read_only_candidate,3,3,0,3,"[""workspace""]","[""agentdojo_workspace_user_task_026"", ""agentdojo_workspace_user_task_027"", ""agentdojo_workspace_user_task_035""]",unreviewed,,
post_webpage,manual_review_required,3,1,2,3,"[""slack""]","[""agentdojo_slack_injection_task_002"", ""agentdojo_slack_injection_task_004"", ""agentdojo_slack_user_task_004""]",unreviewed,,
read_channel_messages,read_only_candidate,17,12,5,8,"[""slack""]","[""agentdojo_slack_injection_task_002"", ""agentdojo_slack_injection_task_004"", ""agentdojo_slack_user_task_001"", ""agentdojo_slack_user_task_006"", ""agentdojo_slack_user_task_008""]",unreviewed,,
read_file,read_only_candidate,4,4,0,4,"[""banking""]","[""agentdojo_banking_user_task_000"", ""agentdojo_banking_user_task_002"", ""agentdojo_banking_user_task_012"", ""agentdojo_banking_user_task_013""]",unreviewed,,
read_inbox,read_only_candidate,2,2,0,2,"[""slack""]","[""agentdojo_slack_user_task_004"", ""agentdojo_slack_user_task_011""]",unreviewed,,
remove_user_from_slack,access_control_write_candidate,1,0,1,1,"[""slack""]","[""agentdojo_slack_injection_task_005""]",unreviewed,,
reschedule_calendar_event,state_changing_candidate,1,1,0,1,"[""workspace""]","[""agentdojo_workspace_user_task_007""]",unreviewed,,
reserve_hotel,state_changing_candidate,3,1,2,3,"[""travel""]","[""agentdojo_travel_injection_task_000"", ""agentdojo_travel_injection_task_004"", ""agentdojo_travel_user_task_000""]",unreviewed,,
schedule_transaction,state_changing_candidate,1,1,0,1,"[""banking""]","[""agentdojo_banking_user_task_006""]",unreviewed,,
search_calendar_events,read_only_candidate,7,7,0,7,"[""workspace""]","[""agentdojo_workspace_user_task_000"", ""agentdojo_workspace_user_task_002"", ""agentdojo_workspace_user_task_003"", ""agentdojo_workspace_user_task_007"", ""agentdojo_workspace_user_task_008""]",unreviewed,,
search_contacts_by_name,read_only_candidate,1,1,0,1,"[""workspace""]","[""agentdojo_workspace_user_task_020""]",unreviewed,,
search_emails,read_only_candidate,10,7,3,10,"[""workspace""]","[""agentdojo_workspace_injection_task_003"", ""agentdojo_workspace_injection_task_004"", ""agentdojo_workspace_injection_task_005"", ""agentdojo_workspace_user_task_013"", ""agentdojo_workspace_user_task_014""]",unreviewed,,
search_files,read_only_candidate,5,5,0,5,"[""workspace""]","[""agentdojo_workspace_user_task_025"", ""agentdojo_workspace_user_task_030"", ""agentdojo_workspace_user_task_031"", ""agentdojo_workspace_user_task_032"", ""agentdojo_workspace_user_task_034""]",unreviewed,,
search_files_by_filename,read_only_candidate,6,6,0,5,"[""workspace""]","[""agentdojo_workspace_user_task_013"", ""agentdojo_workspace_user_task_028"", ""agentdojo_workspace_user_task_029"", ""agentdojo_workspace_user_task_033"", ""agentdojo_workspace_user_task_034""]",unreviewed,,
send_channel_message,manual_review_required,5,5,0,5,"[""slack""]","[""agentdojo_slack_user_task_003"", ""agentdojo_slack_user_task_005"", ""agentdojo_slack_user_task_008"", ""agentdojo_slack_user_task_012"", ""agentdojo_slack_user_task_015""]",unreviewed,,
send_direct_message,external_communication_write_candidate,10,9,1,6,"[""slack""]","[""agentdojo_slack_injection_task_001"", ""agentdojo_slack_user_task_001"", ""agentdojo_slack_user_task_006"", ""agentdojo_slack_user_task_013"", ""agentdojo_slack_user_task_014""]",unreviewed,,
send_email,external_communication_write_candidate,13,6,7,11,"[""travel"", ""workspace""]","[""agentdojo_travel_injection_task_001"", ""agentdojo_travel_injection_task_003"", ""agentdojo_travel_injection_task_005"", ""agentdojo_travel_user_task_003"", ""agentdojo_workspace_injection_task_000""]",unreviewed,,
send_money,financial_write_candidate,15,6,9,13,"[""banking""]","[""agentdojo_banking_injection_task_000"", ""agentdojo_banking_injection_task_001"", ""agentdojo_banking_injection_task_002"", ""agentdojo_banking_injection_task_003"", ""agentdojo_banking_injection_task_005""]",unreviewed,,
share_file,state_changing_candidate,1,1,0,1,"[""workspace""]","[""agentdojo_workspace_user_task_032""]",unreviewed,,
update_password,state_changing_candidate,2,1,1,2,"[""banking""]","[""agentdojo_banking_injection_task_007"", ""agentdojo_banking_user_task_014""]",unreviewed,,
update_scheduled_transaction,state_changing_candidate,5,4,1,5,"[""banking""]","[""agentdojo_banking_injection_task_004"", ""agentdojo_banking_user_task_002"", ""agentdojo_banking_user_task_009"", ""agentdojo_banking_user_task_012"", ""agentdojo_banking_user_task_015""]",unreviewed,,
update_user_info,state_changing_candidate,2,2,0,2,"[""banking""]","[""agentdojo_banking_user_task_013"", ""agentdojo_banking_user_task_015""]",unreviewed,,
